Index,X.1,X,Season,Episode,title,Scene,Line,Speaker,Text,Location,Region,House,Major.Char,Gender
1,1,1,Season 1,S01E01,Winter is Coming,1,1,SCRIPT_NOTE,"[First scene opens with three Rangers riding through a tunnel, leaving the Wall, and going into the woods. (Eerie music in background) One Ranger splits off and finds a campsite full of mutilated bodies, including a child hanging from a tree branch. A birds-eye view shows the bodies arranged in a shield-like pattern. The Ranger rides back to the other two.]",North of the Wall,Beyond the Wall,Other,0,Other
2,2,2,Season 1,S01E01,Winter is Coming,1,2,WAYMAR ROYCE," What d'you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",North of the Wall,Beyond the Wall,Other,0,Other
3,3,3,Season 1,S01E01,Winter is Coming,1,3,WILL," I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",North of the Wall,Beyond the Wall,Other,0,Other
4,4,4,Season 1,S01E01,Winter is Coming,1,4,WAYMAR ROYCE, How close did you get?,North of the Wall,Beyond the Wall,Other,0,Other
5,5,5,Season 1,S01E01,Winter is Coming,1,5,WILL, Close as any man would.,North of the Wall,Beyond the Wall,Other,0,Other
6,6,6,Season 1,S01E01,Winter is Coming,1,6,GARED, We should head back to the wall.,North of the Wall,Beyond the Wall,Other,0,Other
7,7,7,Season 1,S01E01,Winter is Coming,1,7,ROYCE, Do the dead frighten you?,North of the Wall,Beyond the Wall,Other,0,Other
8,8,8,Season 1,S01E01,Winter is Coming,1,8,GARED, Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,North of the Wall,Beyond the Wall,Other,0,Other
9,9,9,Season 1,S01E01,Winter is Coming,1,9,ROYCE, You don't think he'll ask us how they died? Get back on your horse.,North of the Wall,Beyond the Wall,Other,0,Other
10,10,10,Season 1,S01E01,Winter is Coming,1,10,SCRIPT_NOTE,[GARED grumbles.],North of the Wall,Beyond the Wall,Other,0,Other
11,11,11,Season 1,S01E01,Winter is Coming,1,11,WILL, Whatever did it to them could do it to us. They even killed the children.,North of the Wall,Beyond the Wall,Other,0,Other
12,12,12,Season 1,S01E01,Winter is Coming,1,12,ROYCE," It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter If I don't catch you first. Get back on your horse. I won't say it again.",North of the Wall,Beyond the Wall,Other,0,Other
13,13,13,Season 1,S01E01,Winter is Coming,1,13,SCRIPT_NOTE,"[WILL glares, but obeys. Sometime later, the three Rangers return to the campsite, which is now completely cleared.]",North of the Wall,Beyond the Wall,Other,0,Other
14,14,14,Season 1,S01E01,Winter is Coming,1,14,ROYCE, Your dead men seem to have moved camp.,North of the Wall,Beyond the Wall,Other,0,Other
15,15,15,Season 1,S01E01,Winter is Coming,1,15,WILL, They were here.,North of the Wall,Beyond the Wall,Other,0,Other
16,16,16,Season 1,S01E01,Winter is Coming,1,16,GARED, See where they went.,North of the Wall,Beyond the Wall,Other,0,Other
17,17,17,Season 1,S01E01,Winter is Coming,1,17,SCRIPT_NOTE,"[The three look around, swords drawn. They hear the wind and eerie calls. GARED finds a red cloth in the snow.]",North of the Wall,Beyond the Wall,Other,0,Other
18,18,18,Season 1,S01E01,Winter is Coming,1,18,ROYCE, What is it?,North of the Wall,Beyond the Wall,Other,0,Other
19,19,19,Season 1,S01E01,Winter is Coming,1,19,GARED, It's ,North of the Wall,Beyond the Wall,Other,0,Other
